[2024-12-01 15:54:35,581: INFO: 3963953584: Processing video: https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-987643572956494]
[2024-12-01 15:54:41,004: INFO: 3963953584: Processing video frames of video: 1]
[2024-12-01 15:54:42,477: INFO: 3963953584: Found faces in frame 1 of video 1]
[2024-12-01 15:54:42,478: INFO: 3963953584: Face is not clear]
[2024-12-01 15:54:43,401: INFO: 3963953584: Found faces in frame 2 of video 1]
[2024-12-01 15:54:43,402: INFO: 3963953584: Face is clear]
[2024-12-01 15:54:43,416: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:54:43,417: INFO: 3963953584: Directory is empty so face is unique]
[2024-12-01 15:54:43,417: INFO: 3963953584: face is unique and saving it to unique_faces/unique_face_0_1_frame_1.jpg]
[2024-12-01 15:54:43,418: INFO: 3963953584: Adding unique image in the dataframe...]
[2024-12-01 15:54:43,620: INFO: 3963953584: No face in this frame 2 of video 1]
[2024-12-01 15:54:44,789: INFO: 3963953584: Found faces in frame 2 of video 1]
[2024-12-01 15:54:44,790: INFO: 3963953584: Face is clear]
[2024-12-01 15:54:44,794: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:54:46,183: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:54:46,184: INFO: 3963953584: face is unique and saving it to unique_faces/unique_face_1_1_frame_10.jpg]
[2024-12-01 15:54:46,185: INFO: 3963953584: Adding unique image in the dataframe...]
[2024-12-01 15:54:46,439: INFO: 3963953584: New row for unique image added successfully !!! 
 {'image_path': 'unique_faces/unique_face_1_1_frame_10.jpg', 'hash': '72cac7cf6beb8754539e63c603cb649e0939f1c3', 'score': 0.4, 'no_of_occurance': 1, 'recent_occurance': 1} ]
[2024-12-01 15:54:46,439: INFO: 3963953584: Face is not clear]
[2024-12-01 15:54:47,378: INFO: 3963953584: Found faces in frame 3 of video 1]
[2024-12-01 15:54:47,379: INFO: 3963953584: Face is clear]
[2024-12-01 15:54:47,383: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:54:47,510: INFO: 3963953584: Checking the distance of existing faces in dir]
